spectrometer_90_70nm_einzel_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:40:41
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
529.688	10472.353
529.816	10486.431
529.944	10598.706
530.072	10536.118
530.200	10534.039
530.328	10544.569
530.456	10599.000
530.584	10614.902
530.713	10627.078
530.841	10603.980
530.969	10609.686
531.097	10580.059
531.225	10560.333
531.353	10717.333
531.481	10602.941
531.609	10733.745
531.738	10569.706
531.866	10720.118
531.994	10638.608
532.122	10762.529
532.250	10657.706
532.378	10585.451
532.506	10595.863
532.634	10588.373
532.763	10530.686
532.891	10546.745
533.019	10547.784
533.147	10513.745
533.275	10471.667
533.403	10571.863
533.531	10543.569
533.659	10558.020
533.788	10571.314
533.916	10537.824
534.044	10644.431
534.172	10639.961
534.300	10588.902
534.428	10569.569
534.556	10777.765
534.684	10590.431
534.813	10586.510
534.941	10594.078
535.069	10606.392
535.197	10591.706
535.325	10595.647
535.453	10539.451
535.581	10704.882
535.709	10571.980
535.838	10575.294
535.966	10611.588
536.094	10635.392
536.222	10590.706
536.350	10587.451
536.478	10577.941
536.606	10699.275
536.734	10677.569
536.863	10671.431
536.991	10710.745
537.119	10715.667
537.247	10710.824
537.375	10844.824
537.503	10679.431
537.631	10704.275
537.759	10672.471
537.888	10659.333
538.016	10890.196
538.144	10751.255
538.272	10746.431
538.400	10797.412
538.528	10742.843
538.656	10816.176
538.784	10832.039
538.913	10912.725
539.041	10868.431
539.169	10875.745
539.297	10863.373
539.425	10983.137
539.553	10949.275
539.681	11021.961
539.809	11016.333
539.938	11030.176
540.066	11075.529
540.194	11097.451
540.322	11227.196
540.450	11183.471
540.578	11170.588
540.706	11219.255
540.834	11255.353
540.963	11312.549
541.091	11291.000
541.219	11300.627
541.347	11417.725
541.475	11345.392
541.603	11388.549
541.731	11373.922
541.859	11391.941
541.988	11430.510
542.116	11635.118
542.244	11471.941
542.372	11623.784
542.500	11484.529
542.628	11530.922
542.756	11540.098
542.884	11551.353
543.013	11537.275
543.141	11581.490
543.269	11600.608
543.397	11471.902
543.525	11511.294
543.653	11596.392
543.781	11490.529
543.909	11484.392
544.038	11571.471
544.166	11551.725
544.294	11626.157
544.422	11443.255
544.550	11497.941
544.678	11540.647
544.806	11438.333
544.934	11477.451
545.063	11526.549
545.191	11610.039
545.319	11488.255
545.447	11372.961
545.575	11401.902
545.703	11509.275
545.831	11450.020
545.959	11397.863
546.088	11370.353
546.216	11378.784
546.344	11451.373
546.472	11573.196
546.600	11397.902
546.728	11415.118
546.856	11441.020
546.984	11374.725
547.113	11475.412
547.241	11503.451
547.369	11558.569
547.497	11529.510
547.625	11548.392
547.753	11488.020
547.881	11468.392
548.009	11447.863
548.138	11467.706
548.266	11402.490
548.394	11461.333
548.522	11345.765
548.650	11466.412
548.778	11375.686
548.906	11319.647
549.034	11390.725
549.163	11251.941
549.291	11232.980
549.419	11266.020
549.547	11510.039
549.675	11445.412
549.803	11475.961
549.931	11567.176
550.059	11619.608
550.188	11770.686
550.316	11770.549
550.444	11855.510
550.572	11837.137
550.700	11994.157
550.828	12032.275
550.956	12048.275
551.084	12135.059
551.213	12107.275
551.341	12161.863
551.469	12173.686
551.597	12232.941
551.725	12293.922
551.853	12226.882
551.981	12292.608
552.109	12281.549
552.238	12302.490
552.366	12318.000
552.494	12304.353
552.622	12305.608
552.750	12354.902
552.878	12329.412
553.006	12441.392
553.134	12363.373
553.263	12317.137
553.391	12409.667
553.519	12571.137
553.647	12467.902
553.775	12388.000
553.903	12542.863
554.031	12489.647
554.159	12426.431
554.288	12528.451
554.416	12498.373
554.544	12527.608
554.672	12460.373
554.800	12523.020
554.928	12454.980
555.056	12473.588
555.184	12495.373
555.313	12498.510
555.441	12477.490
555.569	12464.569
555.697	12541.294
555.825	12497.922
555.953	12560.039
556.081	12420.431
556.209	12508.118
556.338	12558.706
556.466	12674.314
556.594	12528.608
556.722	12606.627
556.850	12655.235
556.978	12500.392
557.106	12587.922
557.234	12551.627
557.363	12637.725
557.491	12628.196
557.619	12651.020
557.747	12671.804
557.875	12609.980
558.003	12682.471
558.131	12687.275
558.259	12668.941
558.388	12687.784
558.516	12748.725
558.644	12731.980
558.772	12845.059
558.900	12768.333
559.028	12747.196
559.156	12790.137
559.284	12761.490
559.413	12804.843
559.541	12840.118
559.669	12883.608
559.797	12982.510
559.925	12867.020
560.053	12975.686
560.181	12914.176
560.309	12952.451
560.438	12990.157
560.566	12994.176
560.694	12983.784
560.822	13139.647
560.950	12994.431
561.078	13040.529
561.206	13173.922
561.334	13001.000
561.463	13053.176
561.591	13128.431
