spectrometer_90_referenz_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:30:13
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
529.816	10929.412
529.944	11072.824
530.072	10958.118
530.200	10962.882
530.328	10994.216
530.456	11002.569
530.584	10981.569
530.713	11020.843
530.841	11014.902
530.969	11012.176
531.097	11059.196
531.225	11015.451
531.353	11122.196
531.481	11040.902
531.609	11193.667
531.738	11052.137
531.866	11102.098
531.994	11112.275
532.122	11199.745
532.250	11067.059
532.378	11034.627
532.506	10980.922
532.634	11002.784
532.763	10955.647
532.891	10999.333
533.019	10980.137
533.147	10980.196
533.275	10958.569
533.403	11016.196
533.531	11010.941
533.659	10998.490
533.788	11011.000
533.916	10991.294
534.044	11017.725
534.172	11082.510
534.300	11055.353
534.428	11011.922
534.556	11205.235
534.684	11039.941
534.813	11015.431
534.941	11043.490
535.069	11004.196
535.197	11029.588
535.325	11017.765
535.453	11022.098
535.581	11061.157
535.709	10976.451
535.838	11018.569
535.966	11028.216
536.094	11035.216
536.222	11106.373
536.350	11070.451
536.478	11070.961
536.606	11125.373
536.734	11098.765
536.863	11063.373
536.991	11143.275
537.119	11180.784
537.247	11116.647
537.375	11288.176
537.503	11126.647
537.631	11142.843
537.759	11136.804
537.888	11146.627
538.016	11369.294
538.144	11254.078
538.272	11191.490
538.400	11292.843
538.528	11236.549
538.656	11300.176
538.784	11306.961
538.913	11450.804
539.041	11345.137
539.169	11365.706
539.297	11340.157
539.425	11487.569
539.553	11474.314
539.681	11549.686
539.809	11558.902
539.938	11528.059
540.066	11535.294
540.194	11610.686
540.322	11726.275
540.450	11728.824
540.578	11665.529
540.706	11760.020
540.834	11787.471
540.963	11891.490
541.091	11787.706
541.219	11829.235
541.347	11920.922
541.475	11919.392
541.603	11907.647
541.731	11944.216
541.859	11931.196
541.988	11945.275
542.116	12110.510
542.244	11967.980
542.372	12115.941
542.500	12007.863
542.628	12095.725
542.756	12005.412
542.884	12049.980
543.013	12077.902
543.141	12100.902
543.269	12081.333
543.397	12048.608
543.525	12056.000
543.653	12105.882
543.781	12008.471
543.909	12047.529
544.038	12147.922
544.166	12137.902
544.294	12191.314
544.422	12023.627
544.550	12113.863
544.678	12133.706
544.806	12047.392
544.934	11995.255
545.063	12047.765
545.191	12216.451
545.319	12082.804
545.447	11977.765
545.575	11986.020
545.703	12053.137
545.831	11983.627
545.959	11935.176
546.088	11936.353
546.216	11951.275
546.344	12004.431
546.472	12135.627
546.600	11978.686
546.728	11952.137
546.856	12035.020
546.984	11999.961
547.113	12094.941
547.241	12073.314
547.369	12158.980
547.497	12118.000
547.625	12167.255
547.753	12085.510
547.881	12044.647
548.009	12005.882
548.138	12048.843
548.266	12013.706
548.394	12077.216
548.522	11939.020
548.650	12072.078
548.778	12015.353
548.906	11874.765
549.034	11969.235
549.163	11864.510
549.291	11831.098
549.419	11892.529
549.547	12122.765
549.675	12047.588
549.803	12117.275
549.931	12156.059
550.059	12210.118
