spectrometer_90_40nm_hybrid_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:50:02
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
529.688	9584.000
529.816	9618.431
529.944	9781.412
530.072	9678.902
530.200	9700.353
530.328	9698.235
530.456	9691.275
530.584	9694.020
530.713	9693.176
530.841	9721.275
530.969	9749.078
531.097	9643.647
531.225	9682.490
531.353	9794.020
531.481	9704.529
531.609	9903.667
531.738	9724.098
531.866	9794.157
531.994	9804.176
532.122	9866.137
532.250	9758.608
532.378	9712.137
532.506	9683.471
532.634	9713.510
532.763	9641.902
532.891	9709.667
533.019	9719.235
533.147	9711.373
533.275	9688.549
533.403	9717.922
533.531	9662.549
533.659	9683.922
533.788	9691.373
533.916	9668.902
534.044	9710.569
534.172	9764.980
534.300	9741.216
534.428	9725.314
534.556	9894.000
534.684	9774.941
534.813	9769.000
534.941	9725.353
535.069	9688.961
535.197	9725.706
535.325	9709.431
535.453	9714.667
535.581	9803.373
535.709	9725.431
535.838	9732.725
535.966	9756.373
536.094	9767.902
536.222	9774.255
536.350	9768.196
536.478	9719.824
536.606	9820.824
536.734	9791.627
536.863	9788.980
536.991	9813.471
537.119	9837.824
537.247	9831.020
537.375	9945.294
537.503	9850.510
537.631	9826.098
537.759	9838.529
537.888	9792.902
538.016	10034.529
538.144	9908.627
538.272	9827.725
538.400	9905.373
538.528	9882.118
538.656	9952.608
538.784	9945.863
538.913	10024.059
539.041	10023.471
539.169	9961.275
539.297	10013.157
539.425	10139.647
539.553	10076.627
539.681	10134.922
539.809	10107.353
539.938	10101.706
540.066	10175.314
540.194	10232.490
540.322	10312.627
540.450	10321.314
540.578	10217.882
540.706	10307.196
540.834	10313.059
540.963	10432.471
541.091	10374.529
541.219	10368.941
541.347	10473.490
541.475	10453.196
541.603	10459.569
541.731	10486.275
541.859	10456.961
541.988	10483.706
542.116	10637.216
542.244	10535.843
542.372	10663.196
542.500	10576.451
542.628	10652.020
542.756	10581.353
542.884	10570.039
543.013	10580.196
543.141	10707.157
543.269	10661.431
543.397	10537.843
543.525	10617.667
543.653	10719.549
543.781	10572.078
543.909	10599.255
544.038	10682.627
544.166	10645.255
544.294	10713.667
544.422	10577.294
544.550	10654.392
544.678	10635.529
544.806	10579.294
544.934	10574.000
545.063	10618.098
545.191	10687.098
545.319	10624.275
545.447	10475.157
545.575	10508.529
545.703	10543.392
545.831	10541.392
545.959	10521.235
546.088	10529.000
546.216	10499.667
546.344	10503.431
546.472	10656.529
546.600	10524.843
546.728	10532.529
546.856	10548.451
546.984	10506.608
547.113	10621.843
547.241	10611.471
547.369	10703.647
547.497	10631.392
547.625	10636.137
547.753	10568.784
547.881	10553.549
548.009	10557.980
548.138	10559.490
548.266	10508.647
548.394	10539.608
548.522	10462.098
548.650	10615.294
548.778	10502.157
548.906	10441.039
549.034	10508.667
549.163	10364.137
549.291	10386.392
549.419	10435.000
549.547	10663.725
549.675	10595.412
549.803	10583.451
549.931	10675.431
550.059	10703.059
550.188	10826.510
550.316	10823.235
550.444	10971.647
550.572	10968.863
550.700	11025.314
550.828	11100.686
550.956	11149.314
551.084	11218.333
551.213	11153.882
551.341	11250.078
551.469	11201.412
551.597	11296.373
551.725	11323.275
551.853	11302.961
551.981	11370.392
552.109	11313.980
552.238	11424.020
552.366	11349.863
552.494	11328.373
552.622	11341.510
552.750	11422.922
552.878	11392.431
553.006	11471.549
553.134	11422.608
553.263	11424.843
553.391	11408.392
553.519	11579.588
553.647	11475.980
553.775	11472.647
553.903	11591.333
554.031	11544.784
554.159	11513.078
554.288	11558.882
554.416	11508.294
554.544	11599.039
554.672	11529.941
554.800	11572.529
554.928	11503.804
555.056	11473.588
555.184	11542.529
555.313	11505.510
555.441	11504.510
555.569	11507.294
555.697	11633.412
555.825	11567.098
555.953	11558.314
556.081	11508.745
556.209	11537.373
556.338	11599.922
556.466	11735.863
556.594	11543.647
556.722	11625.314
556.850	11687.765
556.978	11539.784
557.106	11593.490
557.234	11578.333
557.363	11695.627
557.491	11637.804
557.619	11659.843
557.747	11707.137
557.875	11697.882
558.003	11688.627
558.131	11706.431
558.259	11767.627
558.388	11722.902
558.516	11763.745
558.644	11760.863
558.772	11864.020
558.900	11798.078
559.028	11796.804
559.156	11849.647
559.284	11827.353
559.413	11842.039
559.541	11901.824
559.669	11911.353
559.797	11961.510
559.925	11918.706
560.053	12026.118
560.181	11928.333
560.309	12002.725
