spectrometer_0_50nm_hybrid_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:52:13
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	5411.490
486.125	4970.627
486.253	4898.333
486.381	4923.157
486.510	4999.765
486.638	5050.843
486.766	5048.294
486.894	5089.157
487.022	5103.275
487.150	5094.647
487.278	5119.137
487.406	5119.490
487.535	5143.137
487.663	5187.882
487.791	5215.941
487.919	5201.431
488.047	5161.627
488.175	5222.686
488.303	5208.157
488.431	5242.471
488.560	5268.569
488.688	5285.078
488.816	5273.745
488.944	5335.706
489.072	5332.431
489.200	5391.686
489.328	5410.667
489.456	5438.098
489.585	5431.373
489.713	5458.804
489.841	5455.157
489.969	5467.569
490.097	5508.961
490.225	5524.294
490.353	5579.176
490.481	5573.216
490.610	5554.431
490.738	5582.647
490.866	5697.431
490.994	5620.784
491.122	5685.863
491.250	5671.196
491.378	5694.020
491.506	5743.686
491.635	5710.745
491.763	5743.588
491.891	5749.588
492.019	5816.176
492.147	5757.941
492.275	5709.706
492.403	5766.510
492.531	5928.255
492.660	5838.961
492.788	5861.941
492.916	5896.529
493.044	5827.353
493.172	5912.118
493.300	5892.902
493.428	5918.412
493.556	5951.196
493.685	6017.353
493.813	6014.725
493.941	6068.686
494.069	6076.804
494.197	6107.314
494.325	6138.745
494.453	6309.843
494.581	6216.216
494.710	6305.118
494.838	6296.275
494.966	6395.078
495.094	6366.333
495.222	6472.882
495.350	6445.686
495.478	6453.804
495.606	6498.412
495.735	6531.000
495.863	6544.235
495.991	6551.784
496.119	6638.176
496.247	6677.529
496.375	6607.706
496.503	6634.765
496.631	6630.176
496.760	6598.412
496.888	6612.725
497.016	6632.784
497.144	6649.569
497.272	6580.216
497.400	6610.529
497.528	6549.333
497.656	6555.294
497.785	6520.667
497.913	6482.196
498.041	6523.961
498.169	6518.549
498.297	6450.627
498.425	6594.039
498.553	6476.863
498.681	6500.843
498.810	6515.353
498.938	6500.863
499.066	6525.647
499.194	6581.490
499.322	6554.314
499.450	6555.804
499.578	6557.412
499.706	6600.235
499.835	6642.412
499.963	6630.608
500.091	6641.725
500.219	6661.137
500.347	6709.039
500.475	6687.804
500.603	6667.510
500.731	6726.176
500.860	6737.745
500.988	6803.196
501.116	6755.529
501.244	6823.431
501.372	6862.706
501.500	6893.039
501.628	6926.333
501.756	6889.471
501.885	6986.490
502.013	6960.059
502.141	7025.588
502.269	7012.647
502.397	7124.471
502.525	7034.902
502.653	7117.353
502.781	7080.824
502.910	7133.608
503.038	7144.314
503.166	7145.451
503.294	7155.176
503.422	7185.039
503.550	7177.804
503.678	7149.569
503.806	7160.373
503.935	7174.765
504.063	7195.510
504.191	7215.941
504.319	7196.471
504.447	7139.000
504.575	7143.431
504.703	7194.529
504.831	7172.569
504.960	7137.863
505.088	7175.392
505.216	7195.000
505.344	7264.941
505.472	7206.118
505.600	7180.137
505.728	7295.137
505.856	7259.588
505.985	7293.824
506.113	7285.431
506.241	7299.314
506.369	7325.490
506.497	7329.608
