spectrometer_0_60nm_hybrid_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:53:08
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	5428.431
486.125	4999.196
486.253	4938.863
486.381	4934.039
486.510	4977.235
486.638	5088.961
486.766	5050.588
486.894	5103.412
487.022	5100.490
487.150	5081.902
487.278	5123.843
487.406	5120.882
487.535	5193.196
487.663	5180.627
487.791	5187.745
487.919	5214.137
488.047	5170.373
488.175	5264.549
488.303	5252.941
488.431	5261.392
488.560	5277.529
488.688	5289.137
488.816	5281.294
488.944	5354.216
489.072	5338.020
489.200	5360.353
489.328	5377.549
489.456	5448.804
489.585	5458.039
489.713	5436.804
489.841	5469.490
489.969	5430.647
490.097	5510.725
490.225	5517.098
490.353	5590.980
490.481	5564.333
490.610	5581.627
490.738	5604.941
490.866	5695.039
490.994	5622.490
491.122	5709.176
491.250	5672.314
491.378	5681.529
491.506	5795.098
491.635	5740.176
491.763	5766.941
491.891	5766.275
492.019	5860.196
492.147	5801.314
492.275	5781.686
492.403	5755.235
492.531	5942.216
492.660	5857.804
492.788	5864.608
492.916	5887.392
493.044	5864.255
493.172	5922.863
493.300	5929.510
493.428	5925.765
493.556	5980.510
493.685	5994.392
493.813	6018.902
493.941	6059.314
494.069	6109.980
494.197	6131.510
494.325	6183.647
494.453	6318.922
494.581	6226.333
494.710	6302.686
494.838	6316.471
494.966	6403.745
495.094	6378.039
495.222	6430.784
495.350	6454.294
495.478	6480.608
495.606	6508.804
495.735	6511.157
495.863	6542.118
495.991	6630.608
496.119	6596.176
496.247	6708.902
496.375	6624.000
496.503	6639.431
496.631	6664.765
496.760	6592.627
496.888	6626.176
497.016	6666.157
497.144	6618.490
497.272	6634.059
497.400	6639.902
497.528	6561.078
497.656	6564.255
497.785	6533.137
497.913	6515.353
498.041	6532.824
498.169	6519.588
498.297	6497.294
498.425	6597.490
498.553	6489.039
498.681	6466.765
498.810	6561.725
498.938	6515.745
499.066	6518.725
499.194	6571.765
499.322	6589.137
499.450	6531.961
499.578	6581.510
499.706	6591.020
499.835	6635.333
499.963	6575.745
500.091	6656.471
500.219	6655.510
500.347	6725.098
500.475	6704.843
500.603	6729.431
500.731	6757.235
500.860	6773.157
500.988	6823.686
501.116	6781.373
501.244	6825.588
501.372	6886.216
501.500	6915.118
501.628	6951.431
501.756	6904.275
501.885	7008.078
502.013	6937.686
502.141	7040.451
502.269	6995.196
502.397	7116.863
502.525	7069.980
502.653	7161.431
502.781	7107.275
502.910	7112.294
503.038	7140.843
503.166	7164.255
503.294	7137.490
503.422	7174.510
503.550	7155.941
503.678	7156.412
503.806	7189.961
503.935	7178.098
504.063	7241.431
504.191	7193.549
504.319	7211.196
504.447	7168.745
504.575	7178.941
504.703	7210.706
504.831	7149.118
504.960	7140.216
505.088	7198.059
505.216	7223.333
505.344	7347.647
505.472	7208.431
505.600	7206.549
505.728	7334.235
505.856	7271.216
505.985	7308.059
506.113	7328.882
506.241	7326.118
506.369	7299.961
506.497	7294.000
506.625	7380.745
506.753	7314.412
506.881	7383.235
507.010	7398.098
507.138	7327.745
507.266	7452.882
507.394	7391.922
507.522	7489.804
507.650	7474.157
507.778	7468.471
507.906	7555.431
508.035	7524.961
508.163	7546.824
508.291	7518.020
508.419	7639.804
508.547	7633.196
508.675	7664.647
508.803	7630.647
508.931	7678.549
509.060	7661.137
509.188	7681.686
509.316	7675.882
509.444	7727.725
509.572	7871.824
509.700	7740.235
509.828	7868.157
509.956	7854.608
510.085	7838.686
510.213	7885.294
510.341	7880.863
510.469	7872.275
510.597	7928.980
510.725	7911.961
510.853	7999.725
510.981	7967.843
511.110	8001.627
511.238	8005.490
511.366	8058.627
511.494	8038.275
511.622	8105.882
511.750	8109.980
511.878	8162.373
512.006	8202.118
512.135	8236.098
512.263	8240.941
512.391	8268.000
512.519	8337.667
512.647	8288.725
512.775	8352.275
512.903	8339.176
513.031	8364.098
513.160	8363.627
513.288	8479.314
513.416	8399.667
513.544	8443.941
513.672	8419.569
513.800	8449.471
513.928	8445.039
514.056	8507.039
514.185	8475.333
514.313	8425.333
514.441	8536.137
514.569	8451.078
514.697	8481.902
514.825	8421.549
514.953	8443.863
515.081	8397.059
515.210	8429.078
515.338	8491.118
515.466	8355.020
515.594	8404.686
515.722	8397.608
515.850	8394.843
515.978	8320.627
516.106	8394.588
516.235	8354.941
516.363	8382.686
516.491	8411.000
516.619	8420.745
516.747	8487.980
516.875	8413.667
517.003	8459.490
517.131	8435.412
517.260	8380.608
517.388	8450.843
517.516	8482.078
517.644	8496.098
517.772	8576.176
517.900	8624.098
518.028	8637.000
518.156	8643.627
518.284	8634.412
518.413	8677.451
518.541	8712.373
518.669	8683.275
518.797	8713.863
518.925	8747.275
519.053	8779.216
519.181	8807.176
519.309	8811.608
519.438	8885.353
519.566	8891.275
519.694	8866.784
519.822	8945.392
519.950	8941.059
520.078	8973.059
520.206	9059.412
520.334	9057.725
520.463	9036.000
520.591	9081.765
520.719	9068.706
520.847	9101.667
520.975	9118.098
521.103	9184.686
521.231	9135.647
521.359	9312.314
521.488	9149.765
521.616	9235.588
521.744	9164.431
521.872	9255.922
522.000	9154.353
522.128	9156.314
522.256	9208.353
522.384	9158.118
522.513	9139.431
522.641	9180.765
522.769	9191.098
522.897	9217.235
523.025	9179.490
523.153	9196.039
523.281	9264.196
523.409	9211.255
523.538	9223.157
523.666	9138.118
523.794	9224.157
523.922	9225.471
524.050	9226.961
524.178	9205.412
524.306	9203.941
524.434	9314.471
524.563	9370.294
524.691	9486.451
524.819	9412.549
524.947	9407.843
525.075	9437.118
525.203	9473.549
525.331	9558.137
525.459	9693.745
525.588	9646.686
525.716	9746.000
525.844	9748.137
525.972	9840.804
526.100	9873.902
526.228	9932.137
526.356	9892.020
526.484	9995.235
526.613	9988.176
526.741	10096.941
526.869	10118.255
526.997	10177.039
527.125	10193.078
527.253	10194.882
527.381	10275.118
527.509	10259.255
527.638	10298.804
527.766	10335.980
527.894	10351.196
528.022	10455.569
528.150	10377.961
528.278	10513.098
528.406	10463.686
528.534	10502.824
528.663	10495.059
528.791	10634.549
528.919	10572.667
529.047	10647.255
529.175	10501.647
529.303	10519.882
529.431	10539.784
529.559	10588.196
529.688	10515.431
529.816	10517.647
529.944	10654.431
530.072	10591.588
530.200	10540.647
530.328	10538.216
530.456	10543.039
530.584	10538.020
530.713	10568.216
530.841	10562.176
530.969	10575.824
531.097	10506.490
531.225	10585.863
531.353	10654.451
531.481	10551.863
531.609	10741.157
531.738	10548.294
531.866	10682.627
531.994	10671.216
532.122	10704.725
532.250	10608.922
532.378	10582.451
532.506	10582.471
532.634	10620.863
532.763	10623.745
532.891	10664.333
533.019	10628.000
533.147	10579.941
533.275	10591.451
533.403	10650.000
533.531	10686.529
533.659	10635.529
533.788	10690.588
533.916	10689.549
534.044	10729.569
534.172	10793.392
534.300	10744.627
534.428	10731.118
534.556	10979.588
534.684	10825.039
534.813	10783.490
534.941	10803.843
535.069	10852.314
535.197	10805.039
535.325	10833.804
535.453	10833.314
535.581	10913.510
535.709	10840.608
535.838	10894.039
535.966	10929.588
536.094	10882.647
536.222	10893.490
536.350	10875.098
536.478	10914.255
536.606	11015.392
536.734	10982.902
536.863	11027.765
536.991	10998.569
537.119	11019.039
537.247	11007.000
537.375	11173.922
537.503	10962.059
537.631	11048.569
537.759	11060.922
537.888	11017.647
538.016	11189.824
538.144	11088.039
538.272	11086.863
538.400	11146.882
538.528	11110.902
538.656	11131.922
538.784	11185.373
538.913	11261.608
539.041	11239.863
539.169	11229.353
539.297	11250.647
539.425	11401.686
539.553	11340.667
539.681	11389.353
539.809	11404.569
539.938	11386.941
540.066	11429.098
540.194	11473.196
540.322	11591.275
540.450	11564.373
540.578	11560.804
540.706	11570.412
540.834	11592.588
540.963	11784.196
541.091	11654.255
541.219	11688.745
541.347	11795.235
541.475	11756.490
541.603	11781.314
541.731	11762.980
541.859	11760.824
541.988	11818.725
542.116	11979.922
542.244	11843.353
542.372	11997.902
542.500	11858.569
542.628	11969.608
542.756	11894.059
542.884	11895.804
543.013	11885.275
543.141	11920.078
543.269	11923.392
543.397	11847.922
543.525	11893.059
543.653	11912.804
543.781	11806.412
543.909	11808.294
544.038	11892.490
544.166	11862.235
544.294	11898.961
544.422	11739.333
544.550	11766.608
544.678	11819.137
544.806	11709.608
544.934	11629.765
545.063	11692.412
545.191	11756.490
545.319	11648.255
545.447	11504.392
545.575	11493.078
545.703	11554.765
545.831	11525.059
545.959	11444.725
546.088	11427.902
546.216	11484.588
546.344	11463.961
546.472	11635.196
546.600	11485.294
546.728	11466.471
546.856	11499.373
546.984	11505.529
547.113	11618.941
547.241	11577.686
547.369	11632.392
547.497	11636.941
547.625	11662.333
547.753	11651.627
547.881	11630.686
548.009	11599.804
548.138	11624.451
548.266	11615.784
548.394	11689.961
548.522	11614.020
548.650	11742.765
548.778	11656.059
548.906	11607.431
549.034	11695.098
549.163	11630.588
549.291	11633.255
549.419	11734.961
549.547	11949.412
549.675	11822.922
549.803	11959.980
549.931	11993.275
550.059	12077.373
550.188	12211.471
550.316	12303.667
550.444	12352.549
550.572	12390.059
550.700	12425.059
550.828	12446.431
550.956	12496.157
551.084	12590.392
551.213	12572.020
551.341	12693.745
551.469	12662.098
551.597	12689.941
551.725	12785.157
551.853	12722.176
551.981	12793.451
552.109	12781.412
552.238	12836.843
552.366	12788.255
552.494	12866.118
552.622	12760.353
552.750	12848.392
552.878	12840.569
553.006	12910.843
553.134	12849.941
553.263	12922.608
553.391	12890.059
553.519	13061.706
553.647	12928.314
553.775	12906.961
553.903	13049.137
554.031	12989.745
554.159	12951.549
554.288	13041.039
554.416	13008.020
554.544	13052.373
554.672	13005.078
554.800	12977.961
554.928	12958.235
555.056	12992.333
555.184	13026.353
555.313	13000.549
555.441	12958.118
555.569	12964.216
555.697	12995.647
555.825	13009.118
555.953	13045.039
556.081	13021.216
556.209	13005.294
556.338	13022.490
556.466	13184.863
556.594	13050.118
556.722	13078.961
556.850	13155.765
556.978	12996.804
557.106	13005.412
557.234	13038.118
557.363	13059.667
557.491	12997.941
557.619	13036.588
557.747	13088.471
557.875	12995.608
558.003	13060.451
558.131	13009.020
558.259	13073.922
558.388	13035.392
558.516	13007.725
558.644	13037.745
558.772	13026.882
558.900	13002.039
559.028	13021.941
559.156	13031.647
559.284	12997.157
559.413	13002.333
559.541	12999.471
559.669	13015.451
559.797	13045.157
559.925	12985.902
560.053	13065.882
560.181	13054.373
560.309	13113.255
560.438	13091.137
560.566	13066.804
560.694	13016.431
560.822	13168.373
560.950	13021.725
561.078	13057.196
561.206	13171.392
561.334	13028.059
561.463	12991.804
561.591	13118.706
561.719	13034.392
561.847	13050.196
561.975	13014.765
562.103	13059.765
562.231	13115.765
562.359	12979.529
562.488	13097.176
562.616	13043.941
562.744	13068.353
562.872	13081.098
563.000	12995.647
563.128	13057.078
563.256	13054.882
563.384	13256.039
563.513	13064.980
563.641	13142.431
563.769	13130.882
563.897	13111.647
564.025	13149.275
564.153	13189.176
564.281	13247.647
564.409	13221.961
564.538	13191.392
564.666	13259.157
564.794	13262.569
564.922	13279.471
565.050	13353.196
565.178	13313.373
565.306	13354.353
565.434	13392.392
565.563	13504.627
565.691	13421.824
565.819	13546.529
565.947	13429.157
566.075	13395.863
566.203	13434.333
566.331	13420.039
566.459	14321.510
566.588	13516.667
566.716	13503.745
566.844	13481.686
566.972	13542.647
567.100	13582.294
567.228	13657.725
567.356	13684.510
567.484	13658.392
567.613	13717.078
567.741	13747.353
567.869	13735.745
567.997	13733.078
568.125	13741.882
568.253	13869.333
568.381	13791.824
568.509	13808.961
568.638	13924.373
568.766	13897.098
568.894	13888.725
569.022	13842.157
569.150	13907.314
569.278	13853.569
569.406	14014.353
569.534	14009.157
569.663	13933.745
569.791	13960.686
569.919	13998.235
570.047	14152.922
570.175	14010.902
570.303	14012.196
570.431	13945.608
570.559	14063.020
570.688	14207.098
570.816	14035.235
570.944	14100.078
571.072	14032.765
571.200	13937.824
571.328	14038.020
571.456	14030.118
571.584	14014.863
571.713	14043.059
571.841	14099.000
571.969	14192.922
572.097	14140.647
572.225	13981.627
572.353	13998.235
572.481	13878.196
572.609	14004.980
572.738	13965.275
572.866	13945.118
572.994	13924.882
573.122	13974.941
573.250	13947.137
573.378	13918.255
573.506	13906.745
573.634	13949.118
573.763	13892.490
573.891	13879.667
574.019	13880.765
574.147	13811.255
574.275	13850.980
574.403	13891.157
574.531	13823.882
574.659	13769.510
574.788	13764.549
574.916	13992.686
575.044	13793.000
575.172	13802.588
575.300	13792.882
575.428	13766.196
575.556	13807.490
575.684	13794.902
575.813	13828.941
575.941	13840.725
576.069	13834.608
576.197	13845.980
576.325	13784.059
576.453	13812.451
576.581	13782.255
576.709	13815.020
576.838	13828.549
576.966	13998.451
577.094	14087.725
577.222	13973.824
577.350	13953.431
577.478	14117.510
577.606	14027.333
577.734	14078.510
577.863	14175.686
577.991	14282.490
578.119	14338.706
578.247	14320.745
578.375	14434.373
578.503	14420.882
578.631	14381.235
578.759	14445.569
578.888	14618.039
579.016	14413.196
579.144	14447.353
579.272	14486.118
579.400	14554.196
579.528	14627.275
579.656	14714.216
579.784	14587.588
579.913	14631.667
580.041	14895.824
580.169	14672.843
580.297	14814.255
580.425	14789.529
580.553	14830.961
580.681	14844.784
580.809	14850.941
580.938	14949.176
581.066	15022.098
581.194	14971.745
581.322	15036.686
581.450	15109.882
581.578	15091.255
581.706	15158.667
581.834	15214.314
581.963	15214.294
582.091	15271.078
582.219	15270.863
582.347	15357.392
582.475	15296.902
582.603	15409.706
582.731	15467.804
582.859	15422.059
582.988	15504.922
583.116	15524.863
583.244	15530.412
583.372	15606.569
583.500	15563.941
583.628	15631.961
583.756	15651.255
583.884	15666.569
584.013	15702.333
584.141	15653.725
584.269	15686.176
584.397	15778.235
584.525	15749.510
584.653	15804.431
584.781	15853.765
584.909	15853.392
585.038	15845.176
585.166	15824.725
585.294	15863.824
585.422	15843.725
585.550	15849.941
585.678	15781.510
585.806	15795.882
585.934	15862.882
586.063	15856.922
586.191	15834.824
586.319	15868.137
586.447	15813.824
586.575	15800.118
586.703	15831.098
586.831	15800.804
586.959	15823.647
587.088	15758.843
587.216	15792.608
587.344	15791.980
