spectrometer_0_referenz_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:31:04
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	6326.255
486.125	5788.000
486.253	5666.961
486.381	5714.392
486.510	5792.098
486.638	5913.647
486.766	5877.706
486.894	5897.078
487.022	5979.020
487.150	5926.882
487.278	5947.020
487.406	5962.941
487.535	5997.137
487.663	6057.686
487.791	6057.608
487.919	6039.922
488.047	6014.627
488.175	6081.588
488.303	6097.824
488.431	6111.431
488.560	6166.882
488.688	6170.020
488.816	6160.784
488.944	6228.020
489.072	6190.902
489.200	6216.039
489.328	6301.353
489.456	6349.745
489.585	6345.627
489.713	6341.275
489.841	6343.706
489.969	6379.882
490.097	6377.784
490.225	6437.392
490.353	6500.275
490.481	6490.569
490.610	6520.784
490.738	6502.314
490.866	6588.627
490.994	6576.471
491.122	6610.804
491.250	6593.667
491.378	6619.706
491.506	6696.451
491.635	6701.039
491.763	6700.392
491.891	6700.490
492.019	6766.706
492.147	6730.569
492.275	6722.549
492.403	6693.000
492.531	6894.353
492.660	6795.451
492.788	6791.549
492.916	6879.529
493.044	6813.392
493.172	6882.608
493.300	6899.000
493.428	6863.353
493.556	6972.706
493.685	6996.137
493.813	7025.353
493.941	7050.216
494.069	7075.784
494.197	7112.667
494.325	7167.549
494.453	7323.529
494.581	7245.980
494.710	7307.647
494.838	7349.882
494.966	7431.118
495.094	7391.137
495.222	7518.255
495.350	7505.137
495.478	7586.608
495.606	7611.490
495.735	7622.706
495.863	7629.157
495.991	7716.431
496.119	7696.647
496.247	7787.314
496.375	7731.176
496.503	7740.745
496.631	7729.686
496.760	7685.784
496.888	7750.686
497.016	7718.255
497.144	7720.255
497.272	7708.745
497.400	7716.176
497.528	7676.922
497.656	7658.706
497.785	7630.294
497.913	7597.373
498.041	7607.627
498.169	7601.529
498.297	7529.882
498.425	7717.608
498.553	7565.627
498.681	7571.216
498.810	7632.725
498.938	7628.569
499.066	7636.667
499.194	7710.882
499.322	7675.804
499.450	7670.667
499.578	7678.235
