spectrometer_0_40nm_hybrid_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:49:29
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	5453.216
486.125	4986.078
486.253	4909.157
486.381	4933.824
486.510	4963.882
486.638	5058.922
486.766	5053.608
486.894	5061.804
487.022	5094.588
487.150	5100.314
487.278	5146.725
487.406	5102.431
487.535	5167.176
487.663	5212.725
487.791	5178.098
487.919	5223.784
488.047	5192.176
488.175	5228.961
488.303	5247.784
488.431	5253.569
488.560	5275.431
488.688	5280.000
488.816	5275.471
488.944	5344.667
489.072	5359.118
489.200	5369.706
489.328	5410.608
489.456	5467.588
489.585	5431.980
489.713	5444.706
489.841	5479.706
489.969	5455.745
490.097	5490.824
490.225	5506.098
490.353	5605.510
490.481	5549.431
490.610	5568.118
490.738	5618.020
490.866	5672.745
490.994	5613.157
491.122	5692.392
491.250	5691.471
491.378	5725.765
491.506	5775.529
491.635	5725.490
491.763	5760.451
491.891	5760.314
492.019	5833.294
492.147	5787.353
492.275	5764.118
492.403	5774.490
492.531	5897.059
492.660	5867.980
492.788	5901.451
492.916	5928.843
493.044	5843.706
493.172	5931.784
493.300	5875.118
493.428	5916.333
493.556	5974.804
493.685	6030.196
493.813	6034.039
493.941	6049.098
494.069	6107.314
494.197	6114.000
494.325	6167.980
494.453	6331.843
494.581	6247.627
494.710	6274.667
494.838	6276.314
494.966	6378.294
495.094	6372.412
495.222	6463.941
495.350	6431.098
495.478	6494.784
495.606	6536.510
495.735	6515.294
495.863	6556.471
495.991	6573.882
496.119	6594.882
496.247	6625.157
496.375	6600.843
496.503	6641.529
496.631	6631.706
496.760	6578.608
496.888	6639.804
497.016	6638.961
497.144	6641.333
497.272	6623.608
497.400	6631.039
497.528	6634.569
497.656	6565.412
497.785	6532.667
497.913	6530.627
498.041	6510.216
498.169	6529.922
498.297	6492.157
498.425	6605.392
498.553	6492.549
498.681	6511.588
498.810	6533.765
498.938	6492.137
499.066	6511.941
499.194	6598.647
499.322	6584.451
499.450	6577.039
499.578	6577.569
499.706	6590.137
499.835	6600.431
499.963	6623.078
500.091	6664.706
500.219	6648.588
500.347	6670.686
500.475	6669.412
500.603	6711.176
500.731	6708.353
500.860	6771.196
500.988	6803.824
501.116	6796.059
501.244	6858.647
501.372	6916.824
501.500	6905.647
501.628	6948.000
501.756	6926.843
501.885	7000.098
502.013	6962.196
502.141	7061.882
502.269	7012.275
502.397	7132.686
502.525	7065.059
502.653	7121.431
502.781	7150.451
502.910	7137.314
503.038	7193.941
503.166	7174.451
503.294	7201.137
503.422	7169.373
503.550	7178.686
503.678	7207.922
503.806	7148.588
503.935	7212.647
504.063	7209.216
504.191	7220.686
504.319	7196.510
504.447	7213.804
504.575	7181.745
504.703	7235.765
504.831	7178.196
504.960	7126.039
505.088	7165.941
505.216	7236.020
505.344	7312.549
505.472	7217.490
505.600	7202.745
505.728	7346.824
505.856	7289.451
505.985	7278.216
506.113	7323.373
506.241	7347.275
506.369	7319.235
506.497	7281.353
506.625	7395.039
506.753	7376.020
506.881	7392.333
507.010	7384.667
507.138	7367.529
507.266	7428.569
507.394	7418.353
507.522	7498.608
507.650	7432.490
507.778	7470.098
507.906	7519.667
508.035	7524.431
508.163	7552.157
508.291	7557.000
508.419	7634.941
508.547	7618.471
508.675	7685.529
508.803	7591.137
508.931	7683.549
509.060	7690.510
509.188	7710.706
509.316	7717.392
509.444	7743.922
509.572	7849.216
509.700	7787.255
509.828	7837.235
509.956	7859.471
510.085	7831.647
510.213	7852.843
510.341	7871.294
510.469	7892.020
510.597	7943.490
510.725	7953.157
510.853	8047.824
510.981	8010.941
511.110	8027.392
511.238	8020.333
511.366	8045.216
511.494	8073.725
511.622	8095.059
511.750	8169.373
511.878	8207.275
512.006	8165.686
512.135	8201.059
512.263	8259.098
512.391	8294.647
512.519	8286.353
512.647	8284.294
512.775	8337.373
512.903	8373.039
513.031	8412.784
513.160	8365.549
513.288	8502.196
513.416	8413.431
513.544	8488.137
513.672	8421.314
513.800	8462.529
513.928	8450.765
514.056	8498.784
514.185	8465.373
514.313	8435.745
514.441	8550.412
514.569	8472.059
514.697	8497.098
514.825	8443.353
514.953	8508.941
515.081	8437.451
515.210	8481.667
515.338	8492.392
515.466	8422.961
515.594	8421.098
515.722	8381.843
515.850	8429.039
515.978	8372.314
516.106	8372.333
516.235	8385.980
516.363	8352.529
516.491	8388.765
516.619	8400.608
516.747	8463.196
516.875	8453.333
517.003	8438.039
517.131	8443.824
517.260	8395.314
517.388	8419.706
517.516	8534.647
517.644	8558.961
517.772	8590.647
517.900	8531.275
518.028	8610.137
518.156	8617.824
518.284	8597.824
518.413	8670.941
518.541	8733.961
518.669	8688.039
518.797	8792.863
518.925	8789.078
519.053	8773.529
519.181	8769.608
519.309	8812.451
519.438	8897.235
519.566	8889.137
519.694	8897.824
519.822	8960.490
519.950	8989.980
520.078	9028.137
520.206	9062.275
520.334	9088.235
520.463	9025.824
520.591	9065.373
520.719	9113.490
520.847	9132.824
520.975	9101.392
521.103	9205.373
521.231	9157.588
521.359	9287.569
521.488	9198.627
521.616	9244.863
521.744	9196.157
521.872	9247.020
522.000	9155.922
522.128	9153.431
522.256	9195.353
522.384	9205.706
522.513	9144.725
522.641	9161.020
522.769	9162.098
522.897	9226.490
523.025	9188.255
523.153	9160.235
523.281	9246.882
523.409	9177.745
523.538	9221.196
523.666	9183.863
523.794	9229.157
523.922	9218.745
524.050	9229.137
524.178	9247.745
524.306	9253.255
524.434	9283.725
524.563	9337.392
524.691	9481.706
524.819	9396.882
524.947	9451.922
525.075	9448.686
525.203	9485.608
525.331	9555.471
525.459	9690.569
525.588	9643.275
525.716	9732.588
525.844	9754.490
525.972	9829.627
526.100	9876.451
526.228	9937.725
526.356	9881.941
526.484	10048.039
526.613	9979.412
526.741	10087.216
526.869	10086.275
526.997	10199.118
527.125	10145.824
527.253	10171.529
527.381	10280.686
527.509	10259.118
527.638	10327.275
527.766	10414.059
527.894	10373.863
528.022	10487.843
528.150	10391.000
528.278	10485.745
528.406	10458.000
528.534	10481.863
528.663	10466.314
528.791	10566.216
528.919	10546.980
529.047	10630.216
529.175	10503.608
529.303	10542.471
529.431	10534.196
529.559	10589.020
529.688	10520.980
529.816	10551.451
529.944	10635.843
530.072	10557.275
530.200	10537.922
530.328	10579.961
530.456	10538.471
530.584	10520.529
530.713	10584.529
530.841	10557.725
530.969	10509.412
531.097	10547.686
531.225	10504.843
531.353	10644.314
531.481	10562.490
531.609	10724.784
531.738	10583.235
531.866	10656.216
531.994	10682.412
532.122	10773.216
532.250	10622.510
532.378	10618.804
532.506	10605.059
532.634	10627.392
532.763	10597.745
532.891	10631.765
533.019	10619.078
533.147	10614.725
533.275	10643.961
533.403	10695.275
