spectrometer_90_20nm_hybrid_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:44:15
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	6482.706
486.125	5896.196
486.253	5752.333
486.381	5754.098
486.510	5776.314
486.638	5878.745
486.766	5871.235
486.894	5926.137
487.022	5954.098
487.150	5918.882
487.278	5963.686
487.406	5955.686
487.535	6007.196
487.663	6056.824
487.791	6038.647
487.919	6088.843
488.047	6069.902
488.175	6102.333
488.303	6154.686
488.431	6189.824
488.560	6203.667
488.688	6241.098
488.816	6200.647
488.944	6260.412
489.072	6243.451
489.200	6320.451
489.328	6304.569
489.456	6352.882
489.585	6355.765
489.713	6335.784
489.841	6329.627
489.969	6335.118
490.097	6372.608
490.225	6392.824
490.353	6422.078
490.481	6370.039
490.610	6401.902
490.738	6396.412
490.866	6446.039
490.994	6371.373
491.122	6442.941
491.250	6438.118
491.378	6454.882
491.506	6502.353
491.635	6443.255
491.763	6453.039
491.891	6474.588
492.019	6508.804
492.147	6505.137
492.275	6470.922
492.403	6468.451
492.531	6626.314
492.660	6562.745
492.788	6572.824
492.916	6588.157
493.044	6526.843
493.172	6618.412
493.300	6593.824
493.428	6605.686
493.556	6638.549
493.685	6671.686
493.813	6689.667
493.941	6722.333
494.069	6762.745
494.197	6788.490
494.325	6827.647
494.453	6947.980
494.581	6866.725
494.710	6918.255
494.838	6883.255
494.966	7016.863
495.094	6957.412
495.222	7076.765
495.350	7037.137
495.478	7083.333
495.606	7096.961
495.735	7114.255
495.863	7160.667
495.991	7189.412
496.119	7226.529
496.247	7279.471
496.375	7210.980
496.503	7242.451
496.631	7242.608
496.760	7216.137
496.888	7229.824
497.016	7282.745
497.144	7246.176
497.272	7269.569
497.400	7293.451
497.528	7242.922
497.656	7266.765
497.785	7233.961
497.913	7264.157
498.041	7239.137
498.169	7253.647
498.297	7197.078
498.425	7379.490
498.553	7234.216
498.681	7219.314
498.810	7283.804
498.938	7237.235
499.066	7269.784
499.194	7336.157
499.322	7323.020
499.450	7255.216
499.578	7288.314
499.706	7308.706
499.835	7344.961
499.963	7303.000
500.091	7353.863
500.219	7352.451
500.347	7378.843
500.475	7372.392
500.603	7396.745
500.731	7431.510
500.860	7494.627
500.988	7464.824
501.116	7430.373
501.244	7515.667
501.372	7573.922
501.500	7603.549
501.628	7616.588
501.756	7601.863
501.885	7686.627
502.013	7630.627
502.141	7708.412
502.269	7659.333
