spectrometer_90_60nm_hybrid_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:54:14
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	5975.275
486.125	5444.039
486.253	5346.235
486.381	5304.078
486.510	5334.784
486.638	5445.451
486.766	5406.667
486.894	5432.333
487.022	5479.353
487.150	5505.294
487.278	5476.451
487.406	5497.216
487.535	5551.059
487.663	5591.686
487.791	5589.314
487.919	5586.039
488.047	5596.392
488.175	5642.824
488.303	5661.843
488.431	5665.549
488.560	5681.157
488.688	5713.431
488.816	5697.686
488.944	5801.176
489.072	5806.980
489.200	5802.059
489.328	5801.353
489.456	5861.569
489.585	5848.902
489.713	5871.510
489.841	5848.529
489.969	5855.882
490.097	5889.529
490.225	5862.294
490.353	5946.745
490.481	5899.765
490.610	5902.118
490.738	5879.804
490.866	5940.922
490.994	5880.255
491.122	5941.353
491.250	5894.078
491.378	5961.490
491.506	6051.000
491.635	5949.392
491.763	5958.235
491.891	5962.059
492.019	6030.275
492.147	5962.078
492.275	5966.922
492.403	5950.353
492.531	6106.706
492.660	6010.686
492.788	6033.765
492.916	6120.373
493.044	6020.608
493.172	6059.627
493.300	6065.549
493.428	6064.020
493.556	6141.275
493.685	6148.667
493.813	6158.941
493.941	6194.627
494.069	6221.333
494.197	6192.196
494.325	6292.373
494.453	6416.804
494.581	6322.588
494.710	6379.490
494.838	6373.510
494.966	6468.745
495.094	6438.000
495.222	6526.588
495.350	6528.255
495.478	6523.039
495.606	6585.961
495.735	6581.941
495.863	6613.961
495.991	6607.608
496.119	6643.824
496.247	6707.196
496.375	6625.745
496.503	6675.059
496.631	6663.275
496.760	6678.451
496.888	6699.000
497.016	6673.804
497.144	6685.392
497.272	6697.745
497.400	6700.216
497.528	6699.098
497.656	6643.765
497.785	6661.353
497.913	6678.961
498.041	6699.353
498.169	6651.275
498.297	6631.412
498.425	6814.333
498.553	6685.235
498.681	6698.961
498.810	6707.275
498.938	6691.608
499.066	6730.235
499.194	6752.314
499.322	6738.980
499.450	6710.196
499.578	6691.647
499.706	6755.627
499.835	6784.608
499.963	6769.549
500.091	6789.157
500.219	6780.353
500.347	6805.451
500.475	6787.725
500.603	6833.314
500.731	6831.745
500.860	6861.235
500.988	6925.804
501.116	6844.059
501.244	6935.353
501.372	6972.373
501.500	6968.549
501.628	7001.392
501.756	7009.353
501.885	7100.588
502.013	7020.824
502.141	7096.157
502.269	7057.902
502.397	7213.922
502.525	7152.608
502.653	7222.961
502.781	7186.863
502.910	7171.922
503.038	7265.510
503.166	7304.137
503.294	7251.333
503.422	7297.941
503.550	7284.529
503.678	7294.902
503.806	7326.216
503.935	7308.078
504.063	7328.412
504.191	7320.196
504.319	7323.314
504.447	7308.451
504.575	7326.490
504.703	7310.902
504.831	7280.255
504.960	7284.686
505.088	7338.725
505.216	7336.882
