spectrometer_dunkelfeld_70nm_einzel_at_650.00nm_cut_at_1436.50Y_01.dat
02.05.2022
13:40:46
cut middle at Y: 1436.50
top cursor: 1494 down cursor: 1379 mean of: 115 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	314.383
486.125	292.600
486.253	288.017
486.381	293.357
486.510	289.226
486.638	299.800
486.766	293.800
486.894	294.296
487.022	299.452
487.150	301.017
487.278	299.739
487.406	304.017
487.535	304.209
487.663	297.157
487.791	296.200
487.919	303.635
488.047	302.930
488.175	306.530
488.303	303.130
488.431	308.139
488.560	316.530
488.688	315.078
488.816	321.557
488.944	317.313
489.072	316.852
489.200	324.652
489.328	318.991
489.456	318.887
489.585	319.261
489.713	318.113
489.841	316.739
489.969	319.583
490.097	323.148
490.225	324.870
490.353	324.157
490.481	329.887
490.610	338.252
490.738	328.452
490.866	331.348
490.994	328.817
491.122	333.226
491.250	333.304
491.378	343.374
491.506	333.861
491.635	334.530
491.763	336.730
491.891	337.861
492.019	357.017
492.147	341.974
492.275	341.687
492.403	347.748
492.531	346.974
492.660	350.174
492.788	349.617
492.916	347.513
493.044	350.426
493.172	355.487
493.300	351.957
493.428	356.765
493.556	361.148
493.685	365.304
493.813	358.487
493.941	362.070
494.069	369.643
494.197	365.078
494.325	373.565
494.453	373.435
494.581	375.070
494.710	367.591
494.838	375.513
494.966	378.261
495.094	374.530
495.222	375.896
495.350	378.478
495.478	383.052
495.606	383.365
495.735	383.913
495.863	384.583
495.991	381.261
496.119	381.174
496.247	387.383
496.375	389.704
496.503	389.348
496.631	406.774
496.760	388.200
496.888	388.617
497.016	393.591
497.144	399.548
497.272	389.417
497.400	394.487
497.528	394.617
497.656	396.783
497.785	392.870
497.913	401.887
498.041	397.078
498.169	403.704
498.297	397.070
498.425	399.278
498.553	405.200
498.681	408.957
498.810	411.113
498.938	404.774
499.066	410.052
499.194	409.635
499.322	407.261
499.450	410.713
499.578	408.470
499.706	414.070
499.835	417.643
499.963	413.330
500.091	416.696
500.219	425.252
500.347	419.939
500.475	428.435
500.603	423.174
500.731	421.887
500.860	429.800
500.988	428.252
501.116	424.678
501.244	433.087
501.372	443.530
501.500	440.678
501.628	439.713
501.756	437.809
501.885	439.730
502.013	448.713
502.141	440.087
502.269	445.974
502.397	448.435
502.525	448.052
502.653	449.078
502.781	456.070
502.910	447.887
503.038	459.400
503.166	451.226
503.294	451.139
503.422	454.652
503.550	462.626
503.678	462.513
503.806	458.026
503.935	463.078
504.063	473.800
504.191	465.548
504.319	468.217
504.447	463.443
504.575	462.817
504.703	465.470
504.831	471.226
504.960	469.600
505.088	468.122
505.216	477.148
505.344	468.470
505.472	470.383
505.600	476.757
505.728	474.643
505.856	478.835
505.985	477.035
