spectrometer_dunkelfeld_100nm_einzel_at_650.00nm_cut_at_1436.50Y_02.dat
02.05.2022
13:37:49
cut middle at Y: 1436.50
top cursor: 1494 down cursor: 1379 mean of: 115 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	560.478
486.125	520.383
486.253	517.322
486.381	516.130
486.510	516.922
486.638	528.548
486.766	527.322
486.894	528.052
487.022	530.122
487.150	549.009
487.278	536.704
487.406	539.626
487.535	544.026
487.663	543.026
487.791	540.400
487.919	547.913
488.047	554.678
488.175	550.409
488.303	551.896
488.431	555.643
488.560	573.417
488.688	570.870
488.816	574.209
488.944	575.174
489.072	582.539
489.200	579.548
489.328	582.470
489.456	583.226
489.585	592.670
489.713	586.530
489.841	591.139
489.969	597.261
490.097	594.400
490.225	595.165
490.353	610.330
490.481	612.200
490.610	616.591
490.738	615.983
490.866	608.896
490.994	616.304
491.122	622.409
491.250	622.835
491.378	629.774
491.506	632.017
491.635	625.139
491.763	633.139
491.891	640.157
492.019	652.948
492.147	640.235
492.275	642.765
492.403	643.313
492.531	658.939
492.660	656.400
492.788	658.330
492.916	656.174
493.044	664.939
493.172	673.696
493.300	667.965
493.428	674.957
493.556	678.200
493.685	684.678
493.813	689.948
493.941	688.548
494.069	696.261
494.197	699.617
494.325	702.843
494.453	711.965
494.581	704.130
494.710	709.400
494.838	712.391
494.966	720.617
495.094	713.296
495.222	719.452
495.350	726.070
495.478	739.930
495.606	740.774
495.735	736.896
495.863	741.435
495.991	744.504
496.119	742.374
496.247	751.209
496.375	736.383
496.503	756.609
496.631	773.930
496.760	753.617
496.888	758.096
497.016	762.887
497.144	770.913
497.272	761.470
497.400	766.904
497.528	772.278
497.656	764.852
497.785	762.470
497.913	779.252
498.041	778.730
498.169	784.591
498.297	780.617
498.425	781.974
498.553	794.704
498.681	790.435
498.810	798.965
498.938	787.043
499.066	803.035
499.194	799.496
499.322	801.878
499.450	798.313
499.578	803.791
499.706	810.200
499.835	829.817
499.963	815.913
500.091	819.435
500.219	829.365
500.347	826.600
500.475	839.539
500.603	836.174
500.731	845.435
500.860	845.122
500.988	850.617
501.116	854.313
501.244	862.626
501.372	869.878
501.500	864.191
501.628	865.652
501.756	874.817
501.885	883.070
502.013	883.426
502.141	881.348
502.269	891.548
502.397	885.261
502.525	887.635
502.653	901.357
502.781	898.435
502.910	906.217
503.038	920.365
503.166	907.574
503.294	909.809
503.422	915.643
503.550	920.487
503.678	920.765
503.806	926.270
503.935	924.009
504.063	936.626
504.191	930.217
504.319	948.974
504.447	932.113
504.575	933.783
504.703	944.070
504.831	948.304
504.960	949.000
505.088	946.609
505.216	952.200
505.344	952.904
505.472	948.296
505.600	969.122
505.728	968.870
505.856	970.557
505.985	964.783
506.113	984.826
506.241	989.948
506.369	993.487
506.497	983.826
506.625	1002.652
506.753	996.157
506.881	1005.217
507.010	1020.678
507.138	1016.626
507.266	1028.809
507.394	1030.348
507.522	1033.774
507.650	1047.843
507.778	1051.539
507.906	1052.748
508.035	1056.209
508.163	1073.626
508.291	1075.287
508.419	1086.817
508.547	1079.287
508.675	1100.409
508.803	1094.496
508.931	1098.887
509.060	1099.870
509.188	1113.913
509.316	1108.817
509.444	1114.391
509.572	1122.722
509.700	1127.357
509.828	1140.243
509.956	1145.687
510.085	1129.470
510.213	1130.539
510.341	1141.678
510.469	1160.574
510.597	1157.948
510.725	1149.417
510.853	1171.400
510.981	1168.861
511.110	1171.809
511.238	1183.730
511.366	1168.522
511.494	1164.522
511.622	1179.461
511.750	1176.270
511.878	1194.096
512.006	1194.200
512.135	1198.991
512.263	1221.400
512.391	1209.043
512.519	1215.278
512.647	1220.704
512.775	1231.400
512.903	1226.878
513.031	1228.591
513.160	1229.417
513.288	1243.696
513.416	1246.974
513.544	1233.817
513.672	1234.600
513.800	1241.070
513.928	1254.148
514.056	1255.348
514.185	1253.226
514.313	1251.739
514.441	1246.557
514.569	1252.261
514.697	1273.417
514.825	1285.400
514.953	1267.191
515.081	1266.330
515.210	1268.765
515.338	1285.270
515.466	1270.722
515.594	1285.009
515.722	1274.522
515.850	1283.078
515.978	1294.730
516.106	1289.609
516.235	1300.391
516.363	1306.113
516.491	1310.461
516.619	1315.922
516.747	1315.930
516.875	1314.713
517.003	1323.304
517.131	1325.443
517.260	1323.530
517.388	1330.739
517.516	1338.661
517.644	1350.000
517.772	1369.565
517.900	1365.548
518.028	1361.704
518.156	1380.391
518.284	1386.452
518.413	1386.000
518.541	1396.791
518.669	1398.983
518.797	1401.504
518.925	1410.435
519.053	1419.443
519.181	1423.330
519.309	1436.226
519.438	1447.035
519.566	1434.626
519.694	1448.609
519.822	1461.452
519.950	1474.930
520.078	1463.304
520.206	1470.313
520.334	1480.965
520.463	1499.035
520.591	1493.504
520.719	1516.878
520.847	1499.261
520.975	1515.643
521.103	1516.035
521.231	1517.800
521.359	1524.113
521.488	1522.539
521.616	1530.574
521.744	1531.043
521.872	1538.026
522.000	1522.583
522.128	1552.661
522.256	1551.887
522.384	1560.165
522.513	1563.687
522.641	1560.730
522.769	1571.791
522.897	1566.157
523.025	1590.548
523.153	1579.913
523.281	1585.817
523.409	1583.209
523.538	1590.687
523.666	1595.148
523.794	1605.948
523.922	1598.400
524.050	1622.096
524.178	1619.209
524.306	1609.148
524.434	1616.426
524.563	1630.139
524.691	1657.470
524.819	1644.539
524.947	1658.713
525.075	1651.565
525.203	1673.730
525.331	1671.852
525.459	1689.374
525.588	1683.217
525.716	1697.365
525.844	1715.809
525.972	1706.104
526.100	1726.409
526.228	1740.600
526.356	1740.470
526.484	1751.296
526.613	1762.974
526.741	1761.826
526.869	1779.452
526.997	1781.609
527.125	1785.443
527.253	1788.696
527.381	1814.270
527.509	1799.661
527.638	1821.174
527.766	1835.157
527.894	1843.452
528.022	1862.930
528.150	1834.696
528.278	1859.652
528.406	1867.226
528.534	1865.296
528.663	1878.348
528.791	1912.435
528.919	1901.887
529.047	1953.617
529.175	1876.922
529.303	1904.530
529.431	1898.261
529.559	1922.843
529.688	1901.983
529.816	1924.226
529.944	1976.765
530.072	1933.504
530.200	1918.809
530.328	1943.704
530.456	1960.191
530.584	1929.722
530.713	1964.522
530.841	1978.817
530.969	1958.130
531.097	1968.974
531.225	1990.452
531.353	2039.130
531.481	2001.461
531.609	2091.600
531.738	1990.009
531.866	2060.096
531.994	2062.930
532.122	2112.730
532.250	2065.774
532.378	2044.304
532.506	2035.183
532.634	2040.939
532.763	2027.991
532.891	2058.843
533.019	2071.704
533.147	2061.391
533.275	2063.574
533.403	2121.017
533.531	2096.539
533.659	2105.783
533.788	2095.139
533.916	2092.870
534.044	2132.983
534.172	2146.800
534.300	2147.087
534.428	2150.139
534.556	2279.409
534.684	2167.826
534.813	2170.826
534.941	2164.252
535.069	2189.357
535.197	2194.774
535.325	2191.122
535.453	2220.409
535.581	2276.104
535.709	2214.122
535.838	2240.096
535.966	2248.835
536.094	2258.148
536.222	2285.878
536.350	2253.157
536.478	2267.748
536.606	2282.096
536.734	2264.078
536.863	2281.600
536.991	2312.835
537.119	2306.496
537.247	2287.626
537.375	2408.861
537.503	2300.061
537.631	2329.157
537.759	2339.191
537.888	2321.278
538.016	2449.383
538.144	2390.774
538.272	2365.843
538.400	2399.574
538.528	2372.417
538.656	2393.217
538.784	2396.713
538.913	2465.774
539.041	2440.757
539.169	2432.139
539.297	2436.991
539.425	2508.983
539.553	2461.243
539.681	2512.313
539.809	2494.078
539.938	2487.000
540.066	2476.417
540.194	2498.148
540.322	2559.113
540.450	2571.209
540.578	2517.443
540.706	2543.026
540.834	2566.348
540.963	2604.835
541.091	2549.791
541.219	2566.696
541.347	2609.304
541.475	2598.504
541.603	2591.357
541.731	2586.496
541.859	2601.600
541.988	2600.070
542.116	2741.722
542.244	2629.348
542.372	2743.087
542.500	2646.817
542.628	2692.739
542.756	2655.870
542.884	2675.739
543.013	2676.835
543.141	2710.878
543.269	2700.843
543.397	2664.200
543.525	2701.704
543.653	2770.017
543.781	2699.643
543.909	2696.696
544.038	2759.991
544.166	2763.122
544.294	2831.600
544.422	2707.174
544.550	2753.809
544.678	2772.383
544.806	2740.861
544.934	2725.470
545.063	2790.130
545.191	2847.339
545.319	2771.800
545.447	2729.791
545.575	2757.643
545.703	2790.139
545.831	2805.017
545.959	2768.165
546.088	2761.609
546.216	2770.417
546.344	2777.548
546.472	2918.443
546.600	2822.287
546.728	2816.652
546.856	2831.191
546.984	2831.374
547.113	2889.383
547.241	2856.591
547.369	2910.513
547.497	2885.817
547.625	2903.600
547.753	2917.843
547.881	2909.400
548.009	2925.139
548.138	2963.035
548.266	2954.696
548.394	3039.687
548.522	2986.478
548.650	3077.383
548.778	3056.122
548.906	3011.417
549.034	3091.417
549.163	3057.922
549.291	3032.878
549.419	3065.696
549.547	3175.183
549.675	3091.104
549.803	3090.730
549.931	3109.583
550.059	3106.522
550.188	3152.148
550.316	3150.296
550.444	3181.061
550.572	3182.261
550.700	3167.365
550.828	3194.461
550.956	3190.696
551.084	3248.557
551.213	3217.957
551.341	3268.800
551.469	3268.183
551.597	3309.957
551.725	3308.409
551.853	3302.774
551.981	3321.852
552.109	3330.965
552.238	3360.070
552.366	3340.826
552.494	3366.583
552.622	3362.252
552.750	3368.739
552.878	3397.478
553.006	3415.383
553.134	3398.270
553.263	3392.235
553.391	3425.104
553.519	3524.974
553.647	3452.017
553.775	3452.748
553.903	3517.826
554.031	3483.713
554.159	3444.722
554.288	3479.826
554.416	3477.043
554.544	3512.652
554.672	3491.400
554.800	3493.043
554.928	3503.965
555.056	3504.391
555.184	3546.635
555.313	3526.426
555.441	3497.391
555.569	3522.270
555.697	3577.817
555.825	3555.626
555.953	3564.478
556.081	3550.304
556.209	3584.470
556.338	3579.096
556.466	3684.530
556.594	3583.696
556.722	3641.843
556.850	3685.409
556.978	3571.217
557.106	3626.504
557.234	3634.687
557.363	3680.200
557.491	3662.774
557.619	3673.739
557.747	3688.696
557.875	3656.661
558.003	3671.130
558.131	3681.096
558.259	3701.557
558.388	3675.078
558.516	3686.852
558.644	3704.330
558.772	3771.939
558.900	3725.652
559.028	3736.800
559.156	3767.713
559.284	3745.991
559.413	3774.513
559.541	3763.113
559.669	3815.583
559.797	3860.096
559.925	3824.765
560.053	3878.539
560.181	3834.739
560.309	3874.670
560.438	3877.696
560.566	3902.887
560.694	3863.322
