spectrometer_dunkelfeld_100nm_einzel_at_650.00nm_cut_at_1436.50Y_01.dat
02.05.2022
13:22:18
cut middle at Y: 1436.50
top cursor: 1494 down cursor: 1379 mean of: 115 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
531.353	2355.661
531.481	2318.487
531.609	2422.600
531.738	2317.852
531.866	2402.565
531.994	2375.678
532.122	2445.861
532.250	2369.557
532.378	2374.713
532.506	2369.852
532.634	2393.922
532.763	2361.026
532.891	2378.252
533.019	2397.165
533.147	2400.148
533.275	2404.322
533.403	2457.374
533.531	2428.939
533.659	2451.835
533.788	2445.383
533.916	2437.304
534.044	2470.757
534.172	2485.983
534.300	2493.922
534.428	2492.191
534.556	2618.435
534.684	2523.661
534.813	2529.061
534.941	2539.513
535.069	2540.704
535.197	2549.200
535.325	2567.148
535.453	2577.409
535.581	2642.070
535.709	2586.009
535.838	2605.313
535.966	2615.722
536.094	2622.939
536.222	2630.461
536.350	2616.835
536.478	2616.104
536.606	2661.235
536.734	2653.487
536.863	2656.043
536.991	2668.835
537.119	2685.783
537.247	2663.687
537.375	2767.713
537.503	2683.643
537.631	2702.191
537.759	2715.304
537.888	2709.174
538.016	2810.670
538.144	2750.922
538.272	2748.165
538.400	2782.574
538.528	2762.061
538.656	2790.861
538.784	2792.661
538.913	2829.304
539.041	2817.043
539.169	2829.183
539.297	2832.930
539.425	2887.348
539.553	2865.365
539.681	2906.826
539.809	2893.591
539.938	2876.583
540.066	2896.261
540.194	2908.861
540.322	2979.652
540.450	2964.687
540.578	2937.078
540.706	2950.078
540.834	2962.330
540.963	3031.835
541.091	2957.661
541.219	2990.313
541.347	3032.104
541.475	3015.252
541.603	3015.530
541.731	3021.930
541.859	3021.035
541.988	3054.200
542.116	3141.565
542.244	3064.383
542.372	3161.391
542.500	3058.765
542.628	3118.365
542.756	3069.991
542.884	3107.470
543.013	3123.478
543.141	3142.461
543.269	3144.183
543.397	3105.200
543.525	3127.200
543.653	3185.522
543.781	3133.235
543.909	3131.478
544.038	3191.896
544.166	3190.730
544.294	3244.991
544.422	3159.287
544.550	3190.487
544.678	3222.374
544.806	3193.583
544.934	3168.078
545.063	3215.687
545.191	3261.791
545.319	3223.757
545.447	3173.583
545.575	3215.322
545.703	3256.304
545.831	3244.104
545.959	3222.322
546.088	3239.565
546.216	3223.678
546.344	3239.296
546.472	3348.017
546.600	3267.000
546.728	3266.487
546.856	3287.887
546.984	3280.991
547.113	3331.391
547.241	3307.530
547.369	3368.922
547.497	3358.870
547.625	3367.339
547.753	3392.426
547.881	3358.730
548.009	3390.948
548.138	3421.643
548.266	3412.722
548.394	3518.800
548.522	3452.139
548.650	3547.400
548.778	3545.130
548.906	3515.322
549.034	3564.278
549.163	3529.017
549.291	3521.157
549.419	3552.617
549.547	3657.791
549.675	3572.991
549.803	3589.774
549.931	3603.217
550.059	3617.270
550.188	3679.313
550.316	3657.713
550.444	3709.965
550.572	3663.652
550.700	3685.287
550.828	3706.661
550.956	3703.339
551.084	3788.417
551.213	3736.470
551.341	3789.530
551.469	3794.887
551.597	3828.470
551.725	3858.113
551.853	3816.974
551.981	3846.165
552.109	3869.487
552.238	3898.583
552.366	3889.061
552.494	3921.209
552.622	3898.983
552.750	3930.287
552.878	3938.243
553.006	3997.035
553.134	3972.652
553.263	3959.400
553.391	3991.017
553.519	4089.096
553.647	4020.565
553.775	4009.687
553.903	4079.391
554.031	4039.226
554.159	4014.191
554.288	4054.913
554.416	4056.904
554.544	4068.104
554.672	4051.113
554.800	4074.513
554.928	4084.609
555.056	4070.157
555.184	4104.878
555.313	4097.591
555.441	4091.043
555.569	4119.400
555.697	4166.800
555.825	4143.426
555.953	4148.409
556.081	4151.574
556.209	4171.243
556.338	4179.539
556.466	4272.670
556.594	4190.522
556.722	4228.896
556.850	4274.391
556.978	4181.548
557.106	4240.965
557.234	4245.496
557.363	4283.974
557.491	4276.887
557.619	4277.209
557.747	4286.687
557.875	4260.200
558.003	4288.452
558.131	4292.478
558.259	4320.530
558.388	4305.652
558.516	4333.330
558.644	4330.104
558.772	4407.270
558.900	4358.530
559.028	4377.565
559.156	4411.400
559.284	4390.261
559.413	4428.783
559.541	4425.061
559.669	4460.522
559.797	4508.617
559.925	4471.661
560.053	4514.791
560.181	4471.748
560.309	4549.574
560.438	4573.791
560.566	4560.017
560.694	4549.435
560.822	4687.478
560.950	4577.896
561.078	4624.409
561.206	4732.391
561.334	4626.313
561.463	4611.478
561.591	4723.096
561.719	4661.965
561.847	4735.243
561.975	4705.470
562.103	4709.070
562.231	4762.730
562.359	4703.861
562.488	4784.296
562.616	4768.183
562.744	4819.278
562.872	4814.357
563.000	4789.148
563.128	4811.478
563.256	4829.548
563.384	4938.617
563.513	4849.252
563.641	4907.878
563.769	4946.296
563.897	4887.965
564.025	4947.226
564.153	4939.148
564.281	5021.157
564.409	4990.783
564.538	4994.626
564.666	5030.513
564.794	5057.583
564.922	5018.339
565.050	5125.922
565.178	5071.078
565.306	5087.409
565.434	5117.643
565.563	5223.217
565.691	5173.157
565.819	5257.670
565.947	5177.330
566.075	5188.522
566.203	5222.226
566.331	5193.374
566.459	5243.574
566.588	5214.000
566.716	5266.565
566.844	5277.009
566.972	5299.330
567.100	5350.557
567.228	5425.643
567.356	5444.635
567.484	5395.930
567.613	5425.217
567.741	5470.157
567.869	5458.087
567.997	5482.861
568.125	5516.374
568.253	5585.383
568.381	5512.113
568.509	5564.904
568.638	5602.357
568.766	5646.452
568.894	5662.896
569.022	5639.417
569.150	5706.930
569.278	5647.557
569.406	5768.365
569.534	5752.113
569.663	5715.791
569.791	5748.852
569.919	5790.348
570.047	5913.191
570.175	5795.452
570.303	5816.870
570.431	5834.730
570.559	5898.478
570.688	5990.122
570.816	5874.557
570.944	5935.043
571.072	5901.696
571.200	5908.730
571.328	5932.183
571.456	5956.009
571.584	5963.652
571.713	5982.600
571.841	6013.522
571.969	6146.409
572.097	6113.148
572.225	5997.200
572.353	6044.913
572.481	6027.252
572.609	6097.539
572.738	6100.661
572.866	6081.139
572.994	6107.739
573.122	6130.809
573.250	6135.861
573.378	6120.052
573.506	6145.904
573.634	6182.565
573.763	6165.765
573.891	6166.278
574.019	6223.826
574.147	6185.435
574.275	6221.374
574.403	6284.043
574.531	6248.730
574.659	6311.217
574.788	6282.357
574.916	6429.922
575.044	6360.974
575.172	6371.704
575.300	6379.739
575.428	6378.539
575.556	6429.487
575.684	6440.304
575.813	6457.739
575.941	6467.391
576.069	6511.174
576.197	6549.504
576.325	6540.930
576.453	6583.835
576.581	6591.087
576.709	6598.400
576.838	6634.478
576.966	6749.974
577.094	6792.774
577.222	6766.017
577.350	6756.348
577.478	6841.530
577.606	6841.643
577.734	6861.696
577.863	6890.157
577.991	6902.113
578.119	7021.809
578.247	6989.913
578.375	7061.174
578.503	7059.957
578.631	7059.191
578.759	7122.496
578.888	7228.348
579.016	7137.139
579.144	7189.652
579.272	7209.096
579.400	7236.643
579.528	7297.443
579.656	7378.913
579.784	7352.200
579.913	7386.043
580.041	7549.652
580.169	7473.217
580.297	7537.461
580.425	7564.739
580.553	7550.652
580.681	7568.313
580.809	7622.200
580.938	7638.565
581.066	7738.504
581.194	7704.896
581.322	7733.670
581.450	7826.739
581.578	7829.983
581.706	7861.304
581.834	7920.948
581.963	7918.548
582.091	7952.017
582.219	8029.704
582.347	8065.896
582.475	8041.043
582.603	8113.652
582.731	8171.278
582.859	8134.678
582.988	8147.009
583.116	8199.661
583.244	8231.609
583.372	8262.748
583.500	8281.478
583.628	8356.661
583.756	8368.661
583.884	8380.930
584.013	8442.765
584.141	8408.478
584.269	8480.991
584.397	8547.565
584.525	8545.583
584.653	8575.000
584.781	8581.687
584.909	8636.400
585.038	8658.678
585.166	8661.165
585.294	8722.383
585.422	8708.278
585.550	8731.757
585.678	8760.400
585.806	8815.217
585.934	8784.035
586.063	8865.652
586.191	8820.783
586.319	8851.174
586.447	8851.617
586.575	8884.696
586.703	8965.974
586.831	8921.530
586.959	9007.191
587.088	8964.609
587.216	9014.678
587.344	9050.357
587.472	9181.139
587.600	9056.983
587.728	9067.409
587.856	9060.200
587.984	9089.139
588.113	9169.522
588.241	9139.843
588.369	9212.357
588.497	9203.817
588.625	9176.487
588.753	9373.226
588.881	9276.417
589.009	9296.070
589.138	9324.687
589.266	9349.113
589.394	9364.365
589.522	9416.748
589.650	9520.513
589.778	9494.313
589.906	9511.809
590.034	9442.139
590.163	9512.000
590.291	9573.904
590.419	9571.235
590.547	9628.443
590.675	9642.617
590.803	9633.191
590.931	9634.696
591.059	9614.757
591.188	9562.330
591.316	9527.417
591.444	9470.078
591.572	9439.357
591.700	9364.261
591.828	9345.130
591.956	9376.313
592.084	9396.304
592.213	9449.635
592.341	9465.348
592.469	9513.843
592.597	9550.504
592.725	9597.209
592.853	9723.713
592.981	9807.730
593.109	9936.852
593.238	9934.217
593.366	10008.400
593.494	10129.339
593.622	10198.243
593.750	10265.235
593.878	10371.574
594.006	10357.296
594.134	10362.096
594.263	10416.348
594.391	10355.887
594.519	10384.087
594.647	10430.974
594.775	10394.939
594.903	10441.157
595.031	10481.487
595.159	10506.739
595.288	10524.939
595.416	10554.713
595.544	10577.113
595.672	10528.739
595.800	10674.200
595.928	10657.852
596.056	10721.052
596.184	10738.974
596.313	10869.426
596.441	10792.322
596.569	10834.035
596.697	10854.765
596.825	10860.487
596.953	10933.000
597.081	11011.652
597.209	11020.774
597.338	11037.139
597.466	11105.070
597.594	11112.200
597.722	11274.470
597.850	11224.122
597.978	11323.826
598.106	11429.461
598.234	11420.426
598.363	11384.652
598.491	11558.339
598.619	11497.609
598.747	11565.139
598.875	11677.035
599.003	11709.957
599.131	11784.400
599.259	11800.061
599.388	11829.687
599.516	11919.296
599.644	11974.713
599.772	12057.713
599.900	12059.217
600.028	12080.113
600.156	12202.409
600.284	12184.496
600.413	12287.339
600.541	12365.643
600.669	12466.930
600.797	12422.974
600.925	12522.635
601.053	12572.843
601.181	12636.626
601.309	12609.043
601.438	12697.339
601.566	12747.678
601.694	12804.443
601.822	13017.991
601.950	12890.661
602.078	12958.217
602.206	13073.226
602.334	13089.974
602.463	13105.417
602.591	13213.139
602.719	13164.617
602.847	13376.991
602.975	13284.939
603.103	13369.157
603.231	13382.478
603.359	13389.635
603.488	13392.539
603.616	13463.330
603.744	13510.148
603.872	13558.417
604.000	13566.270
604.128	13596.078
604.256	13640.930
604.384	13739.043
604.513	13815.374
604.641	13862.722
604.769	13940.052
604.897	13872.539
605.025	13906.209
605.153	13968.078
605.281	14036.070
605.409	14031.052
605.538	14057.061
605.666	14114.278
605.794	14185.661
605.922	14229.087
606.050	14242.530
606.178	14326.965
606.306	14313.687
606.434	14401.835
606.563	14409.757
606.691	14447.426
606.819	14493.148
606.947	14487.991
607.075	14519.278
607.203	14578.409
607.331	14598.800
607.459	14664.922
607.588	14692.383
607.716	14757.217
607.844	14772.209
607.972	14839.009
608.100	14812.887
608.228	14854.557
608.356	14903.548
608.484	14909.600
608.613	15016.609
608.741	15032.252
608.869	15115.722
608.997	15202.678
609.125	15198.461
609.253	15241.713
609.381	15258.235
609.509	15254.122
609.638	15356.652
609.766	15352.383
609.894	15423.965
610.022	15445.843
610.150	15573.061
610.278	15497.652
610.406	15546.217
610.534	15563.339
610.663	15627.104
