500.000	0.00238
501.060	0.00247
501.960	0.00231
503.030	0.0031
503.930	0.00329
505.000	0.00419
506.060	0.00466
506.960	0.00485
508.030	0.00605
508.930	0.00849
510.000	0.00924
511.040	0.01157
511.940	0.01472
512.980	0.01961
514.020	0.0246
515.070	0.03248
515.970	0.04069
517.010	0.05399
518.050	0.06923
518.950	0.08853
520.000	0.11346
521.040	0.14196
521.940	0.17655
522.980	0.23493
524.020	0.29865
525.070	0.36882
525.970	0.41978
527.010	0.49449
528.050	0.56351
528.950	0.63641
530.000	0.72373
531.040	0.79541
531.940	0.86096
532.980	0.9163
534.020	0.97185
535.070	0.99028
535.970	1
537.010	0.98841
538.050	0.96498
538.950	0.93487
540.000	0.89706
541.020	0.84915
542.050	0.78701
542.940	0.72973
543.970	0.68204
545.000	0.621
546.020	0.56094
547.050	0.50997
547.940	0.47756
548.970	0.42683
550.000	0.38773
551.040	0.35255
551.940	0.32723
552.980	0.30615
554.020	0.27929
555.070	0.25479
555.970	0.23684
557.010	0.22784
558.050	0.21275
558.950	0.20495
560.000	0.19946
561.020	0.20089
562.050	0.20353
562.940	0.20898
563.970	0.2147
565.000	0.22624
566.020	0.23958
567.050	0.25855
567.940	0.27393
568.970	0.29491
570.000	0.3129
571.040	0.33286
571.940	0.34282
572.980	0.36539
574.020	0.37313
575.070	0.38714
575.970	0.39557
577.010	0.39583
578.050	0.39905
578.950	0.39811
580.000	0.39327
581.020	0.38652
582.050	0.36886
582.940	0.36105
583.970	0.34575
585.000	0.33446
586.020	0.31418
587.050	0.29803
587.940	0.28167
588.970	0.26143
590.000	0.2431
591.010	0.22553
592.020	0.21605
593.040	0.19333
594.050	0.17748
595.070	0.16217
595.940	0.15039
596.950	0.13956
597.970	0.1268
598.980	0.11923
600.000	0.10873
601.020	0.09938
602.050	0.09546
602.940	0.08887
603.970	0.08296
605.000	0.07613
606.020	0.07264
607.050	0.07012
607.940	0.0664
608.970	0.06347
610.000	0.06216
611.020	0.06123
612.050	0.05794
612.940	0.05842
613.970	0.05874
615.000	0.06029
616.020	0.0589
617.050	0.0608
617.940	0.06064
618.970	0.06071
620.000	0.06276
621.010	0.06262
622.020	0.06416
623.040	0.06518
624.050	0.06512
625.070	0.06442
625.940	0.06482
626.950	0.06282
627.970	0.06265
628.980	0.06341
630.000	0.0619
631.010	0.06065
632.020	0.05967
633.040	0.0568
634.050	0.05744
635.070	0.0545
635.940	0.05245
636.950	0.04895
637.970	0.04783
638.980	0.04492
640.000	0.04327
641.010	0.04024
642.020	0.0371
643.040	0.03545
644.050	0.03512
645.070	0.03203
645.940	0.03003
646.950	0.02866
647.970	0.02612
648.980	0.02433
650.000	0.02294
651.000	0.02079
652.000	0.02014
653.000	0.01799
654.000	0.01778
655.000	0.01578
656.000	0.01515
657.000	0.01372
658.000	0.01264
659.000	0.01129
660.000	0.01187
661.010	0.01119
662.020	0.01007
663.040	0.00923
664.050	0.00829
665.070	0.00823
665.940	0.00819
666.950	0.00766
667.970	0.00813
668.980	0.00738
670.000	0.00743
671.000	0.0066
672.000	0.00635
673.000	0.00613
674.000	0.00626
675.000	0.00599
676.000	0.00609
677.000	0.00612
678.000	0.00567
679.000	0.00611
680.000	0.00604
681.000	0.00555
682.000	0.00554
683.000	0.00514
684.000	0.00524
685.000	0.00541
686.000	0.00513
687.000	0.0048
688.000	0.0054
689.000	0.0055
690.000	0.00419
691.000	0.005
692.000	0.00409
693.000	0.00475
694.000	0.00455
695.000	0.00466
696.000	0.0046
697.000	0.00438
698.000	0.0046
699.000	0.00365
700.000	0.00394
701.000	0.00381
702.000	0.00391
703.000	0.00334
704.000	0.0035
705.000	0.00317
706.000	0.00308
707.000	0.00311
708.000	0.00283
709.000	0.0027
710.000	0.00261
710.980	0.00259
711.970	0.00238
712.950	0.0021
713.940	0.00218
715.070	0.00189
716.050	0.00183
717.040	0.00186
718.020	0.0015
719.010	0.00173
720.000	0.00172
720.980	0.00151
721.970	0.00164
722.950	0.00134
723.940	0.0015
725.070	0.00144
726.050	0.00126
727.040	9.84036E-4
728.020	0.00102
729.010	0.00107
730.000	9.92237E-4
730.980	8.56574E-4
731.970	7.98339E-4
732.950	8.04189E-4
733.940	7.94763E-4
735.070	9.08994E-4
736.050	4.14377E-4
737.040	9.19025E-4
738.020	6.67072E-4
739.010	5.83006E-4
740.000	7.02651E-4
740.970	5.20069E-4
741.940	5.98639E-4
743.050	8.13164E-4
744.020	3.93718E-4
745.000	5.70057E-4
745.970	4.34428E-4
746.940	3.14177E-4
748.050	5.74683E-4
749.020	5.38932E-4
750.000	5.60433E-4
750.980	4.765E-4
751.970	3.36191E-4
752.950	3.7879E-4
753.940	4.69266E-4
755.070	4.84178E-4
756.050	3.87892E-4
757.040	3.04673E-4
758.020	4.35459E-4
759.010	4.16032E-4
760.000	3.35208E-4
760.970	6.03841E-4
761.940	3.93049E-4
763.050	4.2927E-4
764.020	4.74543E-4
765.000	5.26134E-4
765.970	3.95066E-4
766.940	4.14573E-4
768.050	4.30327E-4
769.020	2.59874E-4
770.000	3.47175E-4
770.950	4.20788E-4
772.050	3.50768E-4
773.010	2.05254E-4
773.970	2.29615E-4
775.060	3.43426E-4
776.020	8.96564E-5
776.980	3.46243E-4
777.940	7.22909E-5
779.040	2.92299E-4
780.000	2.54347E-4
780.970	2.18905E-4
781.940	2.75967E-4
783.050	3.77637E-4
784.020	2.37158E-4
785.000	2.92719E-4
785.970	2.4605E-4
786.940	1.31514E-4
788.050	1.82269E-4
789.020	2.18966E-4
790.000	2.55591E-4
